date,borsa_istanbul,dolar_kuru,enflasyon,faiz
2023-01-01,3.0,22.0,17.0,19.0
2023-01-02,3.0,21.714285714285715,15.0,18.428571428571427
2023-01-03,3.0,21.428571428571427,13.0,17.857142857142858
2023-01-04,3.0,21.142857142857142,11.0,17.285714285714285
2023-01-05,3.0,20.857142857142858,9.0,16.714285714285715
2023-01-06,3.0,20.571428571428573,7.0,16.142857142857142
2023-01-07,3.0,20.285714285714285,5.0,15.571428571428571
2023-01-08,3.0,20.0,3.0,15.0
2023-01-09,2.857142857142857,19.714285714285715,2.857142857142857,15.285714285714286
2023-01-10,2.7142857142857144,19.428571428571427,2.7142857142857144,15.571428571428571
2023-01-11,2.5714285714285716,19.142857142857142,2.5714285714285716,15.857142857142858
2023-01-12,2.428571428571429,18.857142857142858,2.428571428571429,16.142857142857142
2023-01-13,2.2857142857142856,18.571428571428573,2.2857142857142856,16.428571428571427
2023-01-14,2.142857142857143,18.285714285714285,2.142857142857143,16.714285714285715
2023-01-15,2.0,18.0,2.0,17.0
2023-01-16,2.0,17.857142857142858,2.0,16.714285714285715
2023-01-17,2.0,17.714285714285715,2.0,16.428571428571427
2023-01-18,2.0,17.571428571428573,2.0,16.142857142857142
2023-01-19,2.0,17.428571428571427,2.0,15.857142857142858
2023-01-20,2.0,17.285714285714285,2.0,15.571428571428571
2023-01-21,2.0,17.142857142857142,2.0,15.285714285714286
2023-01-22,2.0,17.0,2.0,15.0
2023-01-23,2.142857142857143,16.857142857142858,2.857142857142857,15.714285714285714
2023-01-24,2.2857142857142856,16.714285714285715,3.7142857142857144,16.428571428571427
2023-01-25,2.4285714285714284,16.571428571428573,4.571428571428571,17.142857142857142
2023-01-26,2.571428571428571,16.428571428571427,5.428571428571429,17.857142857142858
2023-01-27,2.7142857142857144,16.285714285714285,6.285714285714286,18.571428571428573
2023-01-28,2.857142857142857,16.142857142857142,7.142857142857142,19.285714285714285
2023-01-29,3.0,16.0,8.0,20.0
2023-01-30,3.0,15.285714285714286,7.0,18.142857142857142
2023-01-31,3.0,14.571428571428571,6.0,16.285714285714285
2023-02-01,3.0,13.857142857142858,5.0,14.428571428571429
2023-02-02,3.0,13.142857142857142,4.0,12.571428571428571
2023-02-03,3.0,12.428571428571429,3.0,10.714285714285714
2023-02-04,3.0,11.714285714285715,2.0,8.857142857142858
2023-02-05,3.0,11.0,1.0,7.0
2023-02-06,3.0,11.428571428571429,1.1428571428571428,7.428571428571429
2023-02-07,3.0,11.857142857142858,1.2857142857142856,7.857142857142857
2023-02-08,3.0,12.285714285714285,1.4285714285714286,8.285714285714285
2023-02-09,3.0,12.714285714285714,1.5714285714285714,8.714285714285714
2023-02-10,3.0,13.142857142857142,1.7142857142857142,9.142857142857142
2023-02-11,3.0,13.571428571428571,1.8571428571428572,9.571428571428571
2023-02-12,3.0,14.0,2.0,10.0
2023-02-13,2.857142857142857,14.142857142857142,2.0,10.571428571428571
2023-02-14,2.7142857142857144,14.285714285714286,2.0,11.142857142857142
2023-02-15,2.5714285714285716,14.428571428571429,2.0,11.714285714285714
2023-02-16,2.428571428571429,14.571428571428571,2.0,12.285714285714285
2023-02-17,2.2857142857142856,14.714285714285714,2.0,12.857142857142858
2023-02-18,2.142857142857143,14.857142857142858,2.0,13.428571428571429
2023-02-19,2.0,15.0,2.0,14.0
2023-02-20,2.0,14.857142857142858,2.857142857142857,14.0
2023-02-21,2.0,14.714285714285714,3.7142857142857144,14.0
2023-02-22,2.0,14.571428571428571,4.571428571428571,14.0
2023-02-23,2.0,14.428571428571429,5.428571428571429,14.0
2023-02-24,2.0,14.285714285714286,6.285714285714286,14.0
2023-02-25,2.0,14.142857142857142,7.142857142857142,14.0
2023-02-26,2.0,14.0,8.0,14.0
2023-02-27,1.8571428571428572,14.142857142857142,7.142857142857143,14.0
2023-02-28,1.7142857142857144,14.285714285714286,6.285714285714286,14.0
2023-03-01,1.5714285714285714,14.428571428571429,5.428571428571429,14.0
2023-03-02,1.4285714285714286,14.571428571428571,4.571428571428571,14.0
2023-03-03,1.2857142857142858,14.714285714285714,3.7142857142857144,14.0
2023-03-04,1.1428571428571428,14.857142857142858,2.8571428571428577,14.0
2023-03-05,1.0,15.0,2.0,14.0
2023-03-06,1.1428571428571428,15.285714285714286,2.0,14.142857142857142
2023-03-07,1.2857142857142856,15.571428571428571,2.0,14.285714285714286
2023-03-08,1.4285714285714286,15.857142857142858,2.0,14.428571428571429
2023-03-09,1.5714285714285714,16.142857142857142,2.0,14.571428571428571
2023-03-10,1.7142857142857142,16.428571428571427,2.0,14.714285714285714
2023-03-11,1.8571428571428572,16.714285714285715,2.0,14.857142857142858
2023-03-12,2.0,17.0,2.0,15.0
2023-03-13,2.0,17.0,2.0,15.285714285714286
2023-03-14,2.0,17.0,2.0,15.571428571428571
2023-03-15,2.0,17.0,2.0,15.857142857142858
2023-03-16,2.0,17.0,2.0,16.142857142857142
2023-03-17,2.0,17.0,2.0,16.428571428571427
2023-03-18,2.0,17.0,2.0,16.714285714285715
2023-03-19,2.0,17.0,2.0,17.0
2023-03-20,1.8571428571428572,17.142857142857142,2.142857142857143,16.857142857142858
2023-03-21,1.7142857142857144,17.285714285714285,2.2857142857142856,16.714285714285715
2023-03-22,1.5714285714285714,17.428571428571427,2.4285714285714284,16.571428571428573
